method,layer_idx,proj,task,overlap
lora,0,q_proj,gsm8k,0.4825529456138611
lora,0,q_proj,sst2,0.41936707496643066
lora,0,q_proj,mbpp,0.4184145927429199
lora,0,v_proj,gsm8k,0.42719829082489014
lora,0,v_proj,sst2,0.35096317529678345
lora,0,v_proj,mbpp,0.339121550321579
lora,1,q_proj,gsm8k,0.3206585943698883
lora,1,q_proj,sst2,0.27015936374664307
lora,1,q_proj,mbpp,0.2675115168094635
lora,1,v_proj,gsm8k,0.4925691783428192
lora,1,v_proj,sst2,0.38923418521881104
lora,1,v_proj,mbpp,0.3829430937767029
lora,2,q_proj,gsm8k,0.3194499611854553
lora,2,q_proj,sst2,0.27743837237358093
lora,2,q_proj,mbpp,0.26480743288993835
lora,2,v_proj,gsm8k,0.4648233950138092
lora,2,v_proj,sst2,0.3858732581138611
lora,2,v_proj,mbpp,0.3683438003063202
lora,3,q_proj,gsm8k,0.3334875702857971
lora,3,q_proj,sst2,0.2846168875694275
lora,3,q_proj,mbpp,0.2788339853286743
lora,3,v_proj,gsm8k,0.4881671667098999
lora,3,v_proj,sst2,0.3876882791519165
lora,3,v_proj,mbpp,0.37020570039749146
lora,4,q_proj,gsm8k,0.2966564893722534
lora,4,q_proj,sst2,0.2600098252296448
lora,4,q_proj,mbpp,0.2568311393260956
lora,4,v_proj,gsm8k,0.4758102595806122
lora,4,v_proj,sst2,0.40190088748931885
lora,4,v_proj,mbpp,0.39028942584991455
lora,5,q_proj,gsm8k,0.4413326382637024
lora,5,q_proj,sst2,0.3895541727542877
lora,5,q_proj,mbpp,0.38111451268196106
lora,5,v_proj,gsm8k,0.5506425499916077
lora,5,v_proj,sst2,0.43825650215148926
lora,5,v_proj,mbpp,0.42032331228256226
lora,6,q_proj,gsm8k,0.5142703056335449
lora,6,q_proj,sst2,0.4511541724205017
lora,6,q_proj,mbpp,0.43620696663856506
lora,6,v_proj,gsm8k,0.51129150390625
lora,6,v_proj,sst2,0.42409566044807434
lora,6,v_proj,mbpp,0.40358200669288635
lora,7,q_proj,gsm8k,0.5027601718902588
lora,7,q_proj,sst2,0.44252127408981323
lora,7,q_proj,mbpp,0.4327024817466736
lora,7,v_proj,gsm8k,0.5210657715797424
lora,7,v_proj,sst2,0.4324817657470703
lora,7,v_proj,mbpp,0.41658759117126465
lora,8,q_proj,gsm8k,0.40952223539352417
lora,8,q_proj,sst2,0.3694513440132141
lora,8,q_proj,mbpp,0.3613242208957672
lora,8,v_proj,gsm8k,0.48585253953933716
lora,8,v_proj,sst2,0.41360217332839966
lora,8,v_proj,mbpp,0.39464548230171204
lora,9,q_proj,gsm8k,0.5980132818222046
lora,9,q_proj,sst2,0.5151656866073608
lora,9,q_proj,mbpp,0.5042226314544678
lora,9,v_proj,gsm8k,0.5315542221069336
lora,9,v_proj,sst2,0.44277119636535645
lora,9,v_proj,mbpp,0.42733389139175415
lora,10,q_proj,gsm8k,0.4632851481437683
lora,10,q_proj,sst2,0.4111866354942322
lora,10,q_proj,mbpp,0.39966052770614624
lora,10,v_proj,gsm8k,0.6050628423690796
lora,10,v_proj,sst2,0.5071718692779541
lora,10,v_proj,mbpp,0.4916379153728485
lora,11,q_proj,gsm8k,0.7412511706352234
lora,11,q_proj,sst2,0.6512606143951416
lora,11,q_proj,mbpp,0.6334083676338196
lora,11,v_proj,gsm8k,0.5112364292144775
lora,11,v_proj,sst2,0.41908276081085205
lora,11,v_proj,mbpp,0.40393802523612976
lora,12,q_proj,gsm8k,0.7807982563972473
lora,12,q_proj,sst2,0.6895170211791992
lora,12,q_proj,mbpp,0.6718637943267822
lora,12,v_proj,gsm8k,0.4835449159145355
lora,12,v_proj,sst2,0.41814079880714417
lora,12,v_proj,mbpp,0.4013198912143707
lora,13,q_proj,gsm8k,0.5264380574226379
