method,layer_idx,proj,task,overlap
olora_standard,0,q_proj,gsm8k,0.010462607257068157
olora_standard,0,q_proj,sst2,0.015308337286114693
olora_standard,0,q_proj,mbpp,0.010691779665648937
olora_standard,0,v_proj,gsm8k,0.018522821366786957
olora_standard,0,v_proj,sst2,0.02196364849805832
olora_standard,0,v_proj,mbpp,0.018864214420318604
olora_standard,1,q_proj,gsm8k,0.016303762793540955
olora_standard,1,q_proj,sst2,0.0230119489133358
olora_standard,1,q_proj,mbpp,0.016210829839110374
olora_standard,1,v_proj,gsm8k,0.021258652210235596
olora_standard,1,v_proj,sst2,0.02050747349858284
olora_standard,1,v_proj,mbpp,0.021453112363815308
olora_standard,2,q_proj,gsm8k,0.014418221078813076
olora_standard,2,q_proj,sst2,0.01938439905643463
olora_standard,2,q_proj,mbpp,0.014789869077503681
olora_standard,2,v_proj,gsm8k,0.019989345222711563
olora_standard,2,v_proj,sst2,0.026373829692602158
olora_standard,2,v_proj,mbpp,0.020360641181468964
olora_standard,3,q_proj,gsm8k,0.016158021986484528
olora_standard,3,q_proj,sst2,0.026696572080254555
olora_standard,3,q_proj,mbpp,0.016415592283010483
olora_standard,3,v_proj,gsm8k,0.02463219128549099
olora_standard,3,v_proj,sst2,0.028162769973278046
olora_standard,3,v_proj,mbpp,0.025462642312049866
olora_standard,4,q_proj,gsm8k,0.01751009002327919
olora_standard,4,q_proj,sst2,0.03170958161354065
olora_standard,4,q_proj,mbpp,0.0177594181150198
olora_standard,4,v_proj,gsm8k,0.02463843859732151
olora_standard,4,v_proj,sst2,0.021650461480021477
olora_standard,4,v_proj,mbpp,0.024967700242996216
olora_standard,5,q_proj,gsm8k,0.01666068285703659
olora_standard,5,q_proj,sst2,0.018771855160593987
olora_standard,5,q_proj,mbpp,0.016546564176678658
olora_standard,5,v_proj,gsm8k,0.023728251457214355
olora_standard,5,v_proj,sst2,0.03372177109122276
olora_standard,5,v_proj,mbpp,0.02370874397456646
olora_standard,6,q_proj,gsm8k,0.013573398813605309
olora_standard,6,q_proj,sst2,0.016887659206986427
olora_standard,6,q_proj,mbpp,0.013735095970332623
olora_standard,6,v_proj,gsm8k,0.02844466082751751
olora_standard,6,v_proj,sst2,0.025557711720466614
olora_standard,6,v_proj,mbpp,0.028459519147872925
olora_standard,7,q_proj,gsm8k,0.015870047733187675
olora_standard,7,q_proj,sst2,0.023337390273809433
olora_standard,7,q_proj,mbpp,0.0156843401491642
olora_standard,7,v_proj,gsm8k,0.021408306434750557
olora_standard,7,v_proj,sst2,0.02539042942225933
olora_standard,7,v_proj,mbpp,0.021364187821745872
olora_standard,8,q_proj,gsm8k,0.015105806291103363
olora_standard,8,q_proj,sst2,0.021777290850877762
olora_standard,8,q_proj,mbpp,0.015199927613139153
olora_standard,8,v_proj,gsm8k,0.026342008262872696
olora_standard,8,v_proj,sst2,0.027722997590899467
olora_standard,8,v_proj,mbpp,0.026131143793463707
olora_standard,9,q_proj,gsm8k,0.017147505655884743
olora_standard,9,q_proj,sst2,0.02332797646522522
olora_standard,9,q_proj,mbpp,0.017435643821954727
olora_standard,9,v_proj,gsm8k,0.027430882677435875
olora_standard,9,v_proj,sst2,0.02670072577893734
olora_standard,9,v_proj,mbpp,0.027381129562854767
olora_standard,10,q_proj,gsm8k,0.015084194019436836
olora_standard,10,q_proj,sst2,0.02335861511528492
olora_standard,10,q_proj,mbpp,0.015084880404174328
olora_standard,10,v_proj,gsm8k,0.02447480335831642
olora_standard,10,v_proj,sst2,0.024735787883400917
olora_standard,10,v_proj,mbpp,0.02471485547721386
olora_standard,11,q_proj,gsm8k,0.012632220983505249
olora_standard,11,q_proj,sst2,0.017875470221042633
olora_standard,11,q_proj,mbpp,0.012668568640947342
olora_standard,11,v_proj,gsm8k,0.02273830771446228
olora_standard,11,v_proj,sst2,0.025223778560757637
olora_standard,11,v_proj,mbpp,0.022529486566781998
olora_standard,12,q_proj,gsm8k,0.0175617728382349
olora_standard,12,q_proj,sst2,0.019693084061145782
olora_standard,12,q_proj,mbpp,0.017796803265810013
olora_standard,12,v_proj,gsm8k,0.019886266440153122
olora_standard,12,v_proj,sst2,0.02208632044494152
olora_standard,12,v_proj,mbpp,0.020259177312254906
olora_standard,13,q_proj,gsm8k,0.011478048749268055
olora_standard,13,q_proj,sst2,0.021450471132993698
olora_standard,13,q_proj,mbpp,0.011623203754425049
olora_standard,13,v_proj,gsm8k,0.01820872351527214
olora_standard,13,v_proj,sst2,0.01768614538013935
olora_standard,13,v_proj,mbpp,0.01825435273349285
olora_standard,14,q_proj,gsm8k,0.014112034812569618
olora_standard,14,q_proj,sst2,0.019587472081184387
olora_standard,14,q_proj,mbpp,0.01457025296986103
olora_standard,14,v_proj,gsm8k,0.018782254308462143
olora_standard,14,v_proj,sst2,0.026066841557621956
olora_standard,14,v_proj,mbpp,0.018657170236110687
olora_standard,15,q_proj,gsm8k,0.017032384872436523
olora_standard,15,q_proj,sst2,0.017403414472937584
olora_standard,15,q_proj,mbpp,0.01753706857562065
olora_standard,15,v_proj,gsm8k,0.018949521705508232
olora_standard,15,v_proj,sst2,0.023926693946123123
olora_standard,15,v_proj,mbpp,0.01847829855978489
olora_standard,16,q_proj,gsm8k,0.012980512343347073
olora_standard,16,q_proj,sst2,0.02233106456696987
olora_standard,16,q_proj,mbpp,0.013173769228160381
olora_standard,16,v_proj,gsm8k,0.019485242664813995
olora_standard,16,v_proj,sst2,0.022745231166481972
olora_standard,16,v_proj,mbpp,0.01925383135676384
olora_standard,17,q_proj,gsm8k,0.014259879477322102
olora_standard,17,q_proj,sst2,0.017415247857570648
olora_standard,17,q_proj,mbpp,0.01414884440600872
olora_standard,17,v_proj,gsm8k,0.022074848413467407
olora_standard,17,v_proj,sst2,0.025184987112879753
olora_standard,17,v_proj,mbpp,0.02210332825779915
olora_standard,18,q_proj,gsm8k,0.015506724826991558
olora_standard,18,q_proj,sst2,0.02223958447575569
olora_standard,18,q_proj,mbpp,0.01590937189757824
olora_standard,18,v_proj,gsm8k,0.028424832969903946
olora_standard,18,v_proj,sst2,0.02850079908967018
olora_standard,18,v_proj,mbpp,0.028745299205183983
olora_standard,19,q_proj,gsm8k,0.01574208028614521
olora_standard,19,q_proj,sst2,0.02098088711500168
olora_standard,19,q_proj,mbpp,0.016189469024538994
olora_standard,19,v_proj,gsm8k,0.019203990697860718
olora_standard,19,v_proj,sst2,0.02126002311706543
olora_standard,19,v_proj,mbpp,0.019192134961485863
olora_standard,20,q_proj,gsm8k,0.01549280621111393
olora_standard,20,q_proj,sst2,0.019118212163448334
olora_standard,20,q_proj,mbpp,0.01578126847743988
olora_standard,20,v_proj,gsm8k,0.02249702624976635
olora_standard,20,v_proj,sst2,0.027040934190154076
olora_standard,20,v_proj,mbpp,0.022196071222424507
