method,layer_idx,proj,task,overlap
olora_standard,0,q_proj,gsm8k,0.004681769758462906
olora_standard,0,q_proj,sst2,0.03696451336145401
olora_standard,0,q_proj,mbpp,0.007411204744130373
olora_standard,0,q_proj,xsum,0.006555138621479273
olora_standard,0,q_proj,sciq,0.009747003205120564
olora_standard,0,v_proj,gsm8k,0.00881178304553032
olora_standard,0,v_proj,sst2,0.021062685176730156
olora_standard,0,v_proj,mbpp,0.009014884941279888
olora_standard,0,v_proj,xsum,0.006147564854472876
olora_standard,0,v_proj,sciq,0.012708239257335663
olora_standard,1,q_proj,gsm8k,0.004028766416013241
olora_standard,1,q_proj,sst2,0.03265276551246643
olora_standard,1,q_proj,mbpp,0.005529059562832117
olora_standard,1,q_proj,xsum,0.005507716443389654
olora_standard,1,q_proj,sciq,0.007642851211130619
olora_standard,1,v_proj,gsm8k,0.010501977056264877
olora_standard,1,v_proj,sst2,0.020326323807239532
olora_standard,1,v_proj,mbpp,0.010116931051015854
olora_standard,1,v_proj,xsum,0.009301122277975082
olora_standard,1,v_proj,sciq,0.012867912650108337
olora_standard,2,q_proj,gsm8k,0.005676903296262026
olora_standard,2,q_proj,sst2,0.026018187403678894
olora_standard,2,q_proj,mbpp,0.006851748563349247
olora_standard,2,q_proj,xsum,0.005058672744780779
olora_standard,2,q_proj,sciq,0.009940233081579208
olora_standard,2,v_proj,gsm8k,0.013826078735291958
olora_standard,2,v_proj,sst2,0.017422543838620186
olora_standard,2,v_proj,mbpp,0.013698289170861244
olora_standard,2,v_proj,xsum,0.011696456000208855
olora_standard,2,v_proj,sciq,0.015986671671271324
olora_standard,3,q_proj,gsm8k,0.007225011475384235
olora_standard,3,q_proj,sst2,0.027897626161575317
olora_standard,3,q_proj,mbpp,0.008354763500392437
olora_standard,3,q_proj,xsum,0.007871763780713081
olora_standard,3,q_proj,sciq,0.012022560462355614
olora_standard,3,v_proj,gsm8k,0.013146854937076569
olora_standard,3,v_proj,sst2,0.016745198518037796
olora_standard,3,v_proj,mbpp,0.013230210170149803
olora_standard,3,v_proj,xsum,0.010908101685345173
olora_standard,3,v_proj,sciq,0.016178159043192863
olora_standard,4,q_proj,gsm8k,0.007255169562995434
olora_standard,4,q_proj,sst2,0.028291720896959305
olora_standard,4,q_proj,mbpp,0.008692719042301178
olora_standard,4,q_proj,xsum,0.007331436965614557
olora_standard,4,q_proj,sciq,0.011964916251599789
olora_standard,4,v_proj,gsm8k,0.012235223315656185
olora_standard,4,v_proj,sst2,0.01844475232064724
olora_standard,4,v_proj,mbpp,0.012069648131728172
olora_standard,4,v_proj,xsum,0.009508421644568443
olora_standard,4,v_proj,sciq,0.016427841037511826
olora_standard,5,q_proj,gsm8k,0.004450022242963314
olora_standard,5,q_proj,sst2,0.03090440295636654
olora_standard,5,q_proj,mbpp,0.006789538078010082
olora_standard,5,q_proj,xsum,0.004513137973845005
olora_standard,5,q_proj,sciq,0.010103272274136543
olora_standard,5,v_proj,gsm8k,0.012925935909152031
olora_standard,5,v_proj,sst2,0.024011028930544853
olora_standard,5,v_proj,mbpp,0.012368548661470413
olora_standard,5,v_proj,xsum,0.009136062115430832
olora_standard,5,v_proj,sciq,0.01649942249059677
olora_standard,6,q_proj,gsm8k,0.009076190181076527
olora_standard,6,q_proj,sst2,0.03056030347943306
olora_standard,6,q_proj,mbpp,0.010320005938410759
olora_standard,6,q_proj,xsum,0.008421859703958035
olora_standard,6,q_proj,sciq,0.013806271366775036
olora_standard,6,v_proj,gsm8k,0.009472573176026344
olora_standard,6,v_proj,sst2,0.01778910681605339
olora_standard,6,v_proj,mbpp,0.009234180673956871
olora_standard,6,v_proj,xsum,0.008045705035328865
olora_standard,6,v_proj,sciq,0.01198639441281557
olora_standard,7,q_proj,gsm8k,0.0056244684383273125
olora_standard,7,q_proj,sst2,0.02344646118581295
olora_standard,7,q_proj,mbpp,0.006809058599174023
olora_standard,7,q_proj,xsum,0.004852638114243746
olora_standard,7,q_proj,sciq,0.010064457543194294
olora_standard,7,v_proj,gsm8k,0.009983578696846962
olora_standard,7,v_proj,sst2,0.016852589324116707
olora_standard,7,v_proj,mbpp,0.010140988975763321
olora_standard,7,v_proj,xsum,0.009036794304847717
olora_standard,7,v_proj,sciq,0.011601508595049381
olora_standard,8,q_proj,gsm8k,0.003978217951953411
olora_standard,8,q_proj,sst2,0.027057699859142303
olora_standard,8,q_proj,mbpp,0.004840968642383814
olora_standard,8,q_proj,xsum,0.003899593837559223
olora_standard,8,q_proj,sciq,0.008904838003218174
olora_standard,8,v_proj,gsm8k,0.010006776079535484
olora_standard,8,v_proj,sst2,0.022588856518268585
olora_standard,8,v_proj,mbpp,0.009611704386770725
olora_standard,8,v_proj,xsum,0.007732023485004902
olora_standard,8,v_proj,sciq,0.013441748917102814
olora_standard,9,q_proj,gsm8k,0.00591545645147562
olora_standard,9,q_proj,sst2,0.026465613394975662
olora_standard,9,q_proj,mbpp,0.0070773642510175705
olora_standard,9,q_proj,xsum,0.005639140028506517
olora_standard,9,q_proj,sciq,0.011626528576016426
olora_standard,9,v_proj,gsm8k,0.01060408540070057
olora_standard,9,v_proj,sst2,0.01712014339864254
olora_standard,9,v_proj,mbpp,0.01080184057354927
olora_standard,9,v_proj,xsum,0.007252978626638651
olora_standard,9,v_proj,sciq,0.013540145009756088
olora_standard,10,q_proj,gsm8k,0.005630698055028915
olora_standard,10,q_proj,sst2,0.0351480096578598
olora_standard,10,q_proj,mbpp,0.00685821333900094
olora_standard,10,q_proj,xsum,0.006066162139177322
olora_standard,10,q_proj,sciq,0.010560126043856144
olora_standard,10,v_proj,gsm8k,0.008112302049994469
olora_standard,10,v_proj,sst2,0.010293219238519669
