method,layer_idx,proj,task,overlap
olora_standard,0,q_proj,gsm8k,0.010462607257068157
olora_standard,0,q_proj,sst2,0.015308341011404991
olora_standard,0,q_proj,mbpp,0.010691777803003788
olora_standard,0,v_proj,gsm8k,0.018522819504141808
olora_standard,0,v_proj,sst2,0.02196364849805832
olora_standard,0,v_proj,mbpp,0.018864216282963753
olora_standard,1,q_proj,gsm8k,0.016303760930895805
olora_standard,1,q_proj,sst2,0.023011943325400352
olora_standard,1,q_proj,mbpp,0.016210827976465225
olora_standard,1,v_proj,gsm8k,0.021258652210235596
olora_standard,1,v_proj,sst2,0.02050747163593769
olora_standard,1,v_proj,mbpp,0.021453114226460457
olora_standard,2,q_proj,gsm8k,0.014418221078813076
olora_standard,2,q_proj,sst2,0.01938440091907978
olora_standard,2,q_proj,mbpp,0.014789868146181107
olora_standard,2,v_proj,gsm8k,0.019989347085356712
olora_standard,2,v_proj,sst2,0.026373829692602158
olora_standard,2,v_proj,mbpp,0.020360637456178665
olora_standard,3,q_proj,gsm8k,0.01615802012383938
olora_standard,3,q_proj,sst2,0.026696568354964256
olora_standard,3,q_proj,mbpp,0.01641559600830078
olora_standard,3,v_proj,gsm8k,0.02463219314813614
olora_standard,3,v_proj,sst2,0.028162769973278046
olora_standard,3,v_proj,mbpp,0.025462642312049866
olora_standard,4,q_proj,gsm8k,0.01751008629798889
olora_standard,4,q_proj,sst2,0.03170958533883095
olora_standard,4,q_proj,mbpp,0.0177594181150198
olora_standard,4,v_proj,gsm8k,0.02463843859732151
olora_standard,4,v_proj,sst2,0.021650467067956924
olora_standard,4,v_proj,mbpp,0.024967702105641365
olora_standard,5,q_proj,gsm8k,0.01666068099439144
olora_standard,5,q_proj,sst2,0.018771853297948837
olora_standard,5,q_proj,mbpp,0.016546566039323807
olora_standard,5,v_proj,gsm8k,0.023728249594569206
olora_standard,5,v_proj,sst2,0.03372177854180336
olora_standard,5,v_proj,mbpp,0.02370874583721161
olora_standard,6,q_proj,gsm8k,0.01357339695096016
olora_standard,6,q_proj,sst2,0.016887659206986427
olora_standard,6,q_proj,mbpp,0.013735098764300346
olora_standard,6,v_proj,gsm8k,0.02844466082751751
olora_standard,6,v_proj,sst2,0.025557711720466614
olora_standard,6,v_proj,mbpp,0.028459519147872925
olora_standard,7,q_proj,gsm8k,0.015870049595832825
olora_standard,7,q_proj,sst2,0.023337390273809433
olora_standard,7,q_proj,mbpp,0.015684345737099648
olora_standard,7,v_proj,gsm8k,0.021408304572105408
olora_standard,7,v_proj,sst2,0.02539042942225933
olora_standard,7,v_proj,mbpp,0.021364185959100723
olora_standard,8,q_proj,gsm8k,0.01510580349713564
olora_standard,8,q_proj,sst2,0.021777290850877762
olora_standard,8,q_proj,mbpp,0.015199926681816578
olora_standard,8,v_proj,gsm8k,0.026342010125517845
olora_standard,8,v_proj,sst2,0.027722995728254318
olora_standard,8,v_proj,mbpp,0.026131143793463707
olora_standard,9,q_proj,gsm8k,0.01714750938117504
olora_standard,9,q_proj,sst2,0.02332797460258007
olora_standard,9,q_proj,mbpp,0.017435641959309578
olora_standard,9,v_proj,gsm8k,0.027430882677435875
olora_standard,9,v_proj,sst2,0.02670072205364704
olora_standard,9,v_proj,mbpp,0.027381133288145065
olora_standard,10,q_proj,gsm8k,0.015084193088114262
olora_standard,10,q_proj,sst2,0.023358618840575218
olora_standard,10,q_proj,mbpp,0.015084882266819477
olora_standard,10,v_proj,gsm8k,0.024474799633026123
olora_standard,10,v_proj,sst2,0.02473578415811062
olora_standard,10,v_proj,mbpp,0.02471485547721386
olora_standard,11,q_proj,gsm8k,0.012632221914827824
olora_standard,11,q_proj,sst2,0.017875470221042633
olora_standard,11,q_proj,mbpp,0.012668566778302193
olora_standard,11,v_proj,gsm8k,0.02273830771446228
olora_standard,11,v_proj,sst2,0.025223776698112488
olora_standard,11,v_proj,mbpp,0.02252948470413685
olora_standard,12,q_proj,gsm8k,0.017561767250299454
olora_standard,12,q_proj,sst2,0.019693082198500633
olora_standard,12,q_proj,mbpp,0.017796803265810013
olora_standard,12,v_proj,gsm8k,0.019886260852217674
olora_standard,12,v_proj,sst2,0.02208632230758667
olora_standard,12,v_proj,mbpp,0.020259177312254906
olora_standard,13,q_proj,gsm8k,0.011478044092655182
olora_standard,13,q_proj,sst2,0.0214504674077034
olora_standard,13,q_proj,mbpp,0.011623202823102474
olora_standard,13,v_proj,gsm8k,0.01820872351527214
olora_standard,13,v_proj,sst2,0.0176861472427845
olora_standard,13,v_proj,mbpp,0.018254349008202553
olora_standard,14,q_proj,gsm8k,0.014112033881247044
olora_standard,14,q_proj,sst2,0.019587472081184387
olora_standard,14,q_proj,mbpp,0.01457025296986103
olora_standard,14,v_proj,gsm8k,0.01878225803375244
olora_standard,14,v_proj,sst2,0.026066841557621956
olora_standard,14,v_proj,mbpp,0.018657168373465538
olora_standard,15,q_proj,gsm8k,0.017032384872436523
olora_standard,15,q_proj,sst2,0.017403414472937584
olora_standard,15,q_proj,mbpp,0.01753706857562065
olora_standard,15,v_proj,gsm8k,0.018949519842863083
olora_standard,15,v_proj,sst2,0.023926693946123123
olora_standard,15,v_proj,mbpp,0.01847829669713974
olora_standard,16,q_proj,gsm8k,0.012980512343347073
olora_standard,16,q_proj,sst2,0.02233107015490532
olora_standard,16,q_proj,mbpp,0.01317377109080553
olora_standard,16,v_proj,gsm8k,0.019485240802168846
olora_standard,16,v_proj,sst2,0.022745229303836823
olora_standard,16,v_proj,mbpp,0.01925383135676384
olora_standard,17,q_proj,gsm8k,0.014259878545999527
olora_standard,17,q_proj,sst2,0.017415249720215797
olora_standard,17,q_proj,mbpp,0.014148840680718422
olora_standard,17,v_proj,gsm8k,0.022074846550822258
olora_standard,17,v_proj,sst2,0.025184981524944305
olora_standard,17,v_proj,mbpp,0.022103326395154
olora_standard,18,q_proj,gsm8k,0.015506725758314133
olora_standard,18,q_proj,sst2,0.02223958820104599
olora_standard,18,q_proj,mbpp,0.01590936817228794
olora_standard,18,v_proj,gsm8k,0.028424831107258797
olora_standard,18,v_proj,sst2,0.028500806540250778
olora_standard,18,v_proj,mbpp,0.028745297342538834
olora_standard,19,q_proj,gsm8k,0.015742076560854912
olora_standard,19,q_proj,sst2,0.02098088711500168
olora_standard,19,q_proj,mbpp,0.016189467161893845
olora_standard,19,v_proj,gsm8k,0.019203994423151016
olora_standard,19,v_proj,sst2,0.02126002125442028
olora_standard,19,v_proj,mbpp,0.019192129373550415
olora_standard,20,q_proj,gsm8k,0.015492805279791355
olora_standard,20,q_proj,sst2,0.019118215888738632
olora_standard,20,q_proj,mbpp,0.01578126847743988
olora_standard,20,v_proj,gsm8k,0.02249702624976635
olora_standard,20,v_proj,sst2,0.027040932327508926
olora_standard,20,v_proj,mbpp,0.022196074947714806
olora_standard,21,q_proj,gsm8k,0.01532080490142107
olora_standard,21,q_proj,sst2,0.02403828874230385
olora_standard,21,q_proj,mbpp,0.01587975211441517
olora_standard,21,v_proj,gsm8k,0.022363102063536644
olora_standard,21,v_proj,sst2,0.024192212149500847
olora_standard,21,v_proj,mbpp,0.022723359987139702
olora_standard,22,q_proj,gsm8k,0.016328446567058563
olora_standard,22,q_proj,sst2,0.029534224420785904
olora_standard,22,q_proj,mbpp,0.0172567181289196
olora_standard,22,v_proj,gsm8k,0.028546229004859924
olora_standard,22,v_proj,sst2,0.023941151797771454
olora_standard,22,v_proj,mbpp,0.02949928119778633
olora_standard,23,q_proj,gsm8k,0.01540704257786274
olora_standard,23,q_proj,sst2,0.031944286078214645
olora_standard,23,q_proj,mbpp,0.0167049840092659
olora_standard,23,v_proj,gsm8k,0.024044955149292946
olora_standard,23,v_proj,sst2,0.022273633629083633
olora_standard,23,v_proj,mbpp,0.024629659950733185
olora_standard,24,q_proj,gsm8k,0.014711370691657066
olora_standard,24,q_proj,sst2,0.028746459633111954
olora_standard,24,q_proj,mbpp,0.015941008925437927
olora_standard,24,v_proj,gsm8k,0.024879250675439835
olora_standard,24,v_proj,sst2,0.025778885930776596
olora_standard,24,v_proj,mbpp,0.024393441155552864
olora_standard,25,q_proj,gsm8k,0.016727492213249207
olora_standard,25,q_proj,sst2,0.030599214136600494
olora_standard,25,q_proj,mbpp,0.0176097359508276
olora_standard,25,v_proj,gsm8k,0.02264227345585823
olora_standard,25,v_proj,sst2,0.022626090794801712
olora_standard,25,v_proj,mbpp,0.02242838591337204
olora_standard,26,q_proj,gsm8k,0.012676567770540714
olora_standard,26,q_proj,sst2,0.035853538662195206
olora_standard,26,q_proj,mbpp,0.01552889496088028
olora_standard,26,v_proj,gsm8k,0.02063598297536373
olora_standard,26,v_proj,sst2,0.026149049401283264
olora_standard,26,v_proj,mbpp,0.021151641383767128
olora_standard,27,q_proj,gsm8k,0.013853296637535095
olora_standard,27,q_proj,sst2,0.03161318227648735
olora_standard,27,q_proj,mbpp,0.015843890607357025
olora_standard,27,v_proj,gsm8k,0.023394476622343063
olora_standard,27,v_proj,sst2,0.02451961115002632
olora_standard,27,v_proj,mbpp,0.023472245782613754
olora_safety,0,q_proj,gsm8k,0.007454844191670418
olora_safety,0,q_proj,sst2,0.025005239993333817
olora_safety,0,q_proj,mbpp,0.008415157906711102
olora_safety,0,v_proj,gsm8k,0.01775178126990795
olora_safety,0,v_proj,sst2,0.024413270875811577
olora_safety,0,v_proj,mbpp,0.0178944393992424
olora_safety,1,q_proj,gsm8k,0.011870058253407478
olora_safety,1,q_proj,sst2,0.0349016934633255
olora_safety,1,q_proj,mbpp,0.01358345802873373
olora_safety,1,v_proj,gsm8k,0.019446788355708122
olora_safety,1,v_proj,sst2,0.024702517315745354
olora_safety,1,v_proj,mbpp,0.01984112523496151
olora_safety,2,q_proj,gsm8k,0.009905772283673286
olora_safety,2,q_proj,sst2,0.03399386256933212
olora_safety,2,q_proj,mbpp,0.011687761172652245
olora_safety,2,v_proj,gsm8k,0.018333565443754196
olora_safety,2,v_proj,sst2,0.030235059559345245
olora_safety,2,v_proj,mbpp,0.019636644050478935
olora_safety,3,q_proj,gsm8k,0.00964315328747034
olora_safety,3,q_proj,sst2,0.04427728429436684
olora_safety,3,q_proj,mbpp,0.012640591710805893
olora_safety,3,v_proj,gsm8k,0.022707290947437286
olora_safety,3,v_proj,sst2,0.03407558798789978
olora_safety,3,v_proj,mbpp,0.02334633842110634
olora_safety,4,q_proj,gsm8k,0.010400434024631977
olora_safety,4,q_proj,sst2,0.05144772678613663
olora_safety,4,q_proj,mbpp,0.0134495310485363
olora_safety,4,v_proj,gsm8k,0.022217540070414543
olora_safety,4,v_proj,sst2,0.026974817737936974
olora_safety,4,v_proj,mbpp,0.02299369126558304
olora_safety,5,q_proj,gsm8k,0.012227113358676434
olora_safety,5,q_proj,sst2,0.029977593570947647
olora_safety,5,q_proj,mbpp,0.013824067078530788
olora_safety,5,v_proj,gsm8k,0.02190951257944107
olora_safety,5,v_proj,sst2,0.03611656650900841
olora_safety,5,v_proj,mbpp,0.022695431485772133
olora_safety,6,q_proj,gsm8k,0.0100625641644001
olora_safety,6,q_proj,sst2,0.02704405039548874
olora_safety,6,q_proj,mbpp,0.011377165094017982
olora_safety,6,v_proj,gsm8k,0.026185456663370132
olora_safety,6,v_proj,sst2,0.029529346153140068
olora_safety,6,v_proj,mbpp,0.027318917214870453
olora_safety,7,q_proj,gsm8k,0.010321386158466339
olora_safety,7,q_proj,sst2,0.03979871794581413
olora_safety,7,q_proj,mbpp,0.012352008372545242
olora_safety,7,v_proj,gsm8k,0.020153282210230827
olora_safety,7,v_proj,sst2,0.02789459191262722
olora_safety,7,v_proj,mbpp,0.020196350291371346
olora_safety,8,q_proj,gsm8k,0.009875047020614147
olora_safety,8,q_proj,sst2,0.03752222657203674
olora_safety,8,q_proj,mbpp,0.011589797213673592
olora_safety,8,v_proj,gsm8k,0.02453741990029812
olora_safety,8,v_proj,sst2,0.031915947794914246
olora_safety,8,v_proj,mbpp,0.025069722905755043
olora_safety,9,q_proj,gsm8k,0.0113038569688797
olora_safety,9,q_proj,sst2,0.03819574415683746
olora_safety,9,q_proj,mbpp,0.014222866855561733
